Month,Trade Date,Close
Sep 2024,20.06.2024,35.935
Okt 2024,20.06.2024,37.232
Nov 2024,20.06.2024,39.958
Dez 2024,20.06.2024,40.749
Jan 2025,20.06.2024,40.757
Feb 2025,20.06.2024,40.788
Mar 2025,20.06.2024,39.866
Apr 2025,20.06.2024,38.61
Mai 2025,20.06.2024,
Jun 2025,20.06.2024,37.694
Jun 2024,21.06.2024,34.932
Jul 2024,21.06.2024,33.959
Aug 2024,21.06.2024,34.353
Sep 2024,21.06.2024,35.367
Okt 2024,21.06.2024,36.557
Nov 2024,21.06.2024,39.268
Dez 2024,21.06.2024,40.099
Jan 2025,21.06.2024,40.276
Feb 2025,21.06.2024,40.242
Mar 2025,21.06.2024,39.331
Apr 2025,21.06.2024,38.239
Mai 2025,21.06.2024,
Jun 2025,21.06.2024,37.327
Jun 2024,24.06.2024,34.932
Jul 2024,24.06.2024,34.085
Aug 2024,24.06.2024,34.408
Sep 2024,24.06.2024,35.435
Okt 2024,24.06.2024,36.585
Nov 2024,24.06.2024,39.304
Dez 2024,24.06.2024,40.103
Jan 2025,24.06.2024,40.34
Feb 2025,24.06.2024,40.323
Mar 2025,24.06.2024,39.69
Apr 2025,24.06.2024,38.089
Mai 2025,24.06.2024,
Jun 2025,24.06.2024,37.193
Jun 2024,25.06.2024,34.932
Jul 2024,25.06.2024,34.915
Aug 2024,25.06.2024,35.254
Sep 2024,25.06.2024,36.21
Okt 2024,25.06.2024,37.203
Nov 2024,25.06.2024,39.881
Dez 2024,25.06.2024,40.667
Jan 2025,25.06.2024,40.822
Feb 2025,25.06.2024,40.937
Mar 2025,25.06.2024,40.291
Apr 2025,25.06.2024,38.647
Mai 2025,25.06.2024,
Jun 2025,25.06.2024,37.731
Jun 2024,26.06.2024,34.932
Jul 2024,26.06.2024,33.91
Aug 2024,26.06.2024,34.226
Sep 2024,26.06.2024,35.168
Okt 2024,26.06.2024,36.288
Nov 2024,26.06.2024,38.899
Dez 2024,26.06.2024,39.779
Jan 2025,26.06.2024,40.113
Feb 2025,26.06.2024,40.073
Mar 2025,26.06.2024,39.269
Apr 2025,26.06.2024,37.985
Mai 2025,26.06.2024,
Jun 2025,26.06.2024,37.123
Jun 2024,27.06.2024,34.932
Jul 2024,27.06.2024,34.335
Aug 2024,27.06.2024,34.837
Sep 2024,27.06.2024,35.778
Okt 2024,27.06.2024,36.823
Nov 2024,27.06.2024,39.534
Dez 2024,27.06.2024,40.359
Jan 2025,27.06.2024,40.604
Feb 2025,27.06.2024,40.778
Mar 2025,27.06.2024,39.88
Apr 2025,27.06.2024,38.76
Mai 2025,27.06.2024,
Jun 2025,27.06.2024,37.842
Jul 2024,28.06.2024,34.335
Aug 2024,28.06.2024,34.48
Sep 2024,28.06.2024,35.441
Okt 2024,28.06.2024,36.561
Nov 2024,28.06.2024,39.404
Dez 2024,28.06.2024,40.263
Jan 2025,28.06.2024,40.662
Feb 2025,28.06.2024,40.818
Mar 2025,28.06.2024,39.986
Apr 2025,28.06.2024,38.759
Mai 2025,28.06.2024,
Jun 2025,28.06.2024,37.841
Jul 2025,28.06.2024,
Jul 2024,01.07.2024,34.335
Aug 2024,01.07.2024,33.503
Sep 2024,01.07.2024,34.608
Okt 2024,01.07.2024,35.924
Nov 2024,01.07.2024,38.805
Dez 2024,01.07.2024,39.79
Jan 2025,01.07.2024,40.04
Feb 2025,01.07.2024,40.015
Mar 2025,01.07.2024,39.546
Apr 2025,01.07.2024,38.341
Mai 2025,01.07.2024,
Jun 2025,01.07.2024,37.433
Jul 2025,01.07.2024,
Jul 2024,02.07.2024,34.335
Aug 2024,02.07.2024,33.725
Sep 2024,02.07.2024,34.827
Okt 2024,02.07.2024,36.311
Nov 2024,02.07.2024,39.307
Dez 2024,02.07.2024,40.336
Jan 2025,02.07.2024,40.648
Feb 2025,02.07.2024,40.606
Mar 2025,02.07.2024,40.055
Apr 2025,02.07.2024,38.77
Mai 2025,02.07.2024,
Jun 2025,02.07.2024,38.273
Jul 2025,02.07.2024,
Jul 2024,03.07.2024,34.335
Aug 2024,03.07.2024,32.71
Sep 2024,03.07.2024,33.861
Okt 2024,03.07.2024,35.438
Nov 2024,03.07.2024,38.503
Dez 2024,03.07.2024,39.571
Jan 2025,03.07.2024,39.991
Feb 2025,03.07.2024,39.991
Mar 2025,03.07.2024,39.416
Apr 2025,03.07.2024,38.605
Mai 2025,03.07.2024,
Jun 2025,03.07.2024,37.691
Jul 2025,03.07.2024,
Jul 2024,04.07.2024,34.335
Aug 2024,04.07.2024,33.306
Sep 2024,04.07.2024,34.379
Okt 2024,04.07.2024,35.852
Nov 2024,04.07.2024,38.805
Dez 2024,04.07.2024,39.723
Jan 2025,04.07.2024,40.388
Feb 2025,04.07.2024,40.326
Mar 2025,04.07.2024,39.609
Apr 2025,04.07.2024,38.932
